,Ticker
0,AAPL
1,MSFT
2,NVDA
3,GOOG
4,GOOGL
5,AMZN
6,META
7,LLY
8,AVGO
9,TSLA
10,JPM
11,WMT
12,XOM
13,UNH
14,V
15,MA
16,PG
17,JNJ
18,COST
19,ORCL
20,HD
21,ASML
22,ABBV
23,BAC
24,KO
25,MRK
26,NFLX
27,CVX
28,AZN
29,CRM
30,ADBE
31,PEP
32,TMO
33,TMUS
34,AMD
35,LIN
36,ACN
37,DHR
38,MCD
39,PDD
40,ABT
41,QCOM
42,CSCO
43,GE
44,PM
45,WFC
46,IBM
47,INTU
48,TXN
49,AMGN
50,VZ
51,AXP
52,NOW
53,ISRG
54,CAT
55,PFE
56,BX
57,NEE
58,AMAT
59,DIS
60,GS
61,RTX
62,MS
63,SPGI
64,CMCSA
65,UNP
66,UBER
67,T
68,LOW
69,LMT
70,PGR
71,HON
72,BLK
73,COP
74,TJX
75,SYK
76,REGN
77,ELV
78,ARM
79,VRTX
80,ETN
81,BKNG
82,SCHW
83,PLD
84,BSX
85,NKE
86,C
87,CB
88,MMC
89,UPS
90,PANW
91,ADP
92,ANET
93,LRCX
94,MDT
95,KKR
96,ADI
97,AMT
98,BA
99,MU
100,KLAC
101,MELI
102,DE
103,SO
104,BMY
105,CI
106,HCA
107,MDLZ
108,FI
109,GILD
110,ICE
111,SHW
112,DUK
113,MO
114,SBUX
115,MCO
116,INTC
117,ZTS
118,CL
119,WM
120,GD
121,SNPS
122,EQIX
123,CTAS
124,CMG
125,APH
126,TT
127,CME
128,CDNS
129,PH
130,ABNB
131,NOC
132,EOG
133,CVS
134,AON
135,WELL
136,ITW
137,MCK
138,TDG
139,MSI
140,MMM
141,BDX
142,FDX
143,ECL
144,PNC
145,PYPL
146,CSX
147,USB
148,ORLY
149,RSG
150,TGT
151,AJG
152,APD
153,SLB
154,NXPI
155,MAR
156,SPG
157,CEG
158,EMR
159,FCX
160,MPC
161,CRWD
162,CARR
163,AFL
164,PSX
165,ROP
166,DHI
167,WDAY
168,TFC
169,PSA
170,NEM
171,NSC
172,OXY
173,FTNT
174,AZO
175,O
176,WMB
177,MRVL
178,CHTR
179,AEP
180,ADSK
181,COF
182,DASH
183,HLT
184,DLR
185,OKE
186,SRE
187,GEV
188,MET
189,CPRT
190,GM
191,TTD
192,PCAR
193,TRV
194,VLO
195,CCI
196,GWW
197,PCG
198,KMB
199,BK
200,KDP
201,KMI
202,COR
203,ROST
204,AIG
205,LEN
206,URI
207,D
208,JCI
209,ALL
210,MNST
211,PAYX
212,STZ
213,TEL
214,LHX
215,IQV
216,FICO
217,KHC
218,FIS
219,HUM
220,MSCI
221,HES
222,ODFL
223,MCHP
224,HSY
225,CMI
226,KVUE
227,F
228,MPWR
229,RCL
230,CNC
231,A
232,PEG
233,AMP
234,IDXX
235,NDAQ
236,PRU
237,EW
238,KR
239,EA
240,GIS
241,YUM
242,PWR
243,GEHC
244,FAST
245,HWM
246,DDOG
247,VRSK
248,EXC
249,OTIS
250,SYY
251,ACGL
252,IT
253,AME
254,DOW
255,CTSH
256,TEAM
257,EXR
258,IR
259,CTVA
260,FANG
261,BKR
262,ED
263,EFX
264,NUE
265,CCEP
266,CBRE
